movieInfo,title,star,quote
"
导演:弗兰克·德拉邦特FrankDarabont   主演:蒂姆·罗宾斯TimRobbins/...
1994 / 美国 / 犯罪剧情


",肖申克的救赎 / The Shawshank Redemption / 月黑高飞(港)  /  刺激1995(台),9.6,希望让人自由。
"
导演:吕克·贝松LucBesson   主演:让·雷诺JeanReno/娜塔丽·波特曼...
1994 / 法国 / 剧情动作犯罪


",这个杀手不太冷 / Léon / 杀手莱昂  /  终极追杀令(台),9.4,怪蜀黍和小萝莉不得不说的故事。
"
导演:RobertZemeckis   主演:TomHanks/RobinWrightPenn/GarySinise
1994 / 美国 / 剧情爱情


",阿甘正传 / Forrest Gump / 福雷斯特·冈普,9.4,一部美国近现代史。
"
导演:陈凯歌KaigeChen   主演:张国荣LeslieCheung/张丰毅FengyiZha...
1993 / 中国大陆香港 / 剧情爱情同性


",霸王别姬 / 再见，我的妾  /  Farewell My Concubine,9.4,风华绝代。
"
导演:罗伯托·贝尼尼RobertoBenigni   主演:罗伯托·贝尼尼RobertoBeni...
1997 / 意大利 / 剧情喜剧爱情


",美丽人生 / La vita è bella / 一个快乐的传说(港)  /  Life Is Beautiful,9.5,最美的谎言。
"
导演:宫崎骏HayaoMiyazaki   主演:柊瑠美RumiHîragi/入野自由Miy...
2001 / 日本 / 剧情动画奇幻


",千与千寻 / 千と千尋の神隠し / 神隐少女(台)  /  Spirited Away,9.2,最好的宫崎骏，最好的久石让。 
"
导演:史蒂文·斯皮尔伯格StevenSpielberg   主演:连姆·尼森LiamNeeson...
1993 / 美国 / 剧情历史战争


",辛德勒的名单 / Schindler's List / 舒特拉的名单(港)  /  辛德勒名单,9.4,拯救一个人，就是拯救整个世界。
"
导演:朱塞佩·托纳多雷GiuseppeTornatore   主演:蒂姆·罗斯TimRoth/...
1998 / 意大利 / 剧情音乐


",海上钢琴师 / La leggenda del pianista sull'oceano / 声光伴我飞(台)  /  一九零零的传奇(港),9.2,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 
"
导演:安德鲁·斯坦顿AndrewStanton   主演:本·贝尔特BenBurtt/艾丽...
2008 / 美国 / 喜剧爱情科幻动画冒险


",机器人总动员 / WALL·E / 瓦力(台)  /  太空奇兵·威E(港),9.3,小瓦力，大人生。
"
导演:克里斯托弗·诺兰ChristopherNolan   主演:莱昂纳多·迪卡普里奥Le...
2010 / 美国英国 / 剧情动作科幻悬疑冒险


",盗梦空间 / Inception / 潜行凶间(港)  /  全面启动(台),9.2,诺兰给了我们一场无法盗取的梦。
"
导演:JamesCameron   主演:LeonardoDiCaprio/KateWinslet/BillyZane
1997 / 美国 / 剧情爱情灾难


",泰坦尼克号 / Titanic / 铁达尼号(港 / 台) ,9.1,失去的才是永恒的。 
"
导演:拉库马·希拉尼RajkumarHirani   主演:阿米尔·汗AamirKhan/卡...
2009 / 印度 / 剧情喜剧爱情歌舞


",三傻大闹宝莱坞 / 3 Idiots / 三个傻瓜(台)  /  作死不离3兄弟(港),9.1,英俊版憨豆，高情商版谢耳朵。
"
导演:克里斯托夫·巴拉蒂ChristopheBarratier   主演:杰拉尔·朱诺Géra...
2004 / 法国德国瑞士 / 剧情儿童音乐


",放牛班的春天 / Les choristes / 歌声伴我心(港)  /  唱诗班男孩,9.2,天籁一般的童声，是最接近上帝的存在。 
"
导演:莱塞·霍尔斯道姆LasseHallström   主演:理查·基尔RichardGer...
2009 / 美国英国 / 剧情


",忠犬八公的故事 / Hachi: A Dog's Tale / 忠犬小八(台)  /  秋田犬八千(港),9.2,永远都不能忘记你所爱的人。
